Hosts encendidos,Hosts apagados,Hosts con puerto 22 abierto,Hosts con nombre,Hosts que son honeypot
132.247.0.1,132.247.0.0,132.247.0.1,132.247.1.5,132.247.0.1
132.247.0.2,132.247.1.0,132.247.0.2,132.247.1.15,132.247.0.1
132.247.0.3,132.247.1.1,132.247.0.3,132.247.1.31,132.247.0.2
132.247.0.4,132.247.1.2,132.247.0.5,132.247.1.34,132.247.0.2
132.247.0.5,132.247.1.3,132.247.0.6,132.247.1.35,132.247.0.3
132.247.0.6,132.247.1.4,132.247.0.7,132.247.2.2,132.247.0.3
132.247.0.7,132.247.1.11,132.247.0.8,132.247.2.6,132.247.0.4
132.247.0.8,132.247.1.12,132.247.0.9,132.247.2.10,132.247.0.4
132.247.0.9,132.247.1.13,132.247.0.10,132.247.2.126,132.247.0.5
132.247.0.10,132.247.1.14,132.247.0.12,132.247.2.130,132.247.0.5
132.247.0.11,132.247.1.15,132.247.0.13,132.247.2.134,132.247.0.6
132.247.0.12,132.247.1.17,132.247.0.16,132.247.2.194,132.247.0.6
132.247.0.13,132.247.1.18,132.247.0.17,132.247.2.198,132.247.0.7
132.247.0.14,132.247.1.20,132.247.0.18,132.247.2.202,132.247.0.7
132.247.0.15,132.247.1.25,132.247.0.19,132.247.2.210,132.247.0.8
132.247.0.16,132.247.1.26,132.247.0.20,132.247.4.1,132.247.0.8
132.247.0.17,132.247.1.30,132.247.0.22,132.247.4.2,132.247.0.9
132.247.0.18,132.247.1.31,132.247.0.23,132.247.4.3,132.247.0.9
132.247.0.19,132.247.1.34,132.247.0.24,132.247.4.4,132.247.0.10
132.247.0.20,132.247.1.35,132.247.0.26,132.247.4.5,132.247.0.10
132.247.0.21,132.247.1.36,132.247.0.29,132.247.4.6,132.247.0.11
132.247.0.22,132.247.1.38,132.247.0.30,132.247.4.7,132.247.0.11
132.247.0.23,132.247.1.41,132.247.0.31,132.247.4.8,132.247.0.12
132.247.0.24,132.247.1.42,132.247.0.32,132.247.4.9,132.247.0.12
132.247.0.25,132.247.1.44,132.247.0.33,132.247.4.10,132.247.0.13
132.247.0.26,132.247.1.45,132.247.0.34,132.247.4.11,132.247.0.13
132.247.0.27,132.247.1.47,132.247.0.35,132.247.4.12,132.247.0.14
132.247.0.28,132.247.1.49,132.247.0.36,132.247.4.13,132.247.0.14
132.247.0.29,132.247.1.50,132.247.0.37,132.247.4.14,132.247.0.15
132.247.0.30,132.247.1.51,132.247.0.38,132.247.4.15,132.247.0.15
